Window,Strategy,Mean Returns,Covariance Matrix,Weights,Return,Std Dev,Sum of Weights
48,Mean-Variance,"{'SMALL LoINV': 1.2358333333333333, 'ME1 INV2': 1.391875, 'SMALL HiINV': 1.048958333333333, 'BIG LoINV': 1.2029166666666666, 'ME2 INV2': 1.3652083333333331, 'BIG HiINV': 1.461666666666667}","[[34.57798226950355, 34.354233510638295, 39.85162535460992, 30.22172304964539, 30.20355407801418, 33.88137304964539], [34.354233510638295, 34.95585811170212, 40.466106249999996, 30.304813563829786, 30.553945345744676, 34.80633510638297], [39.85162535460992, 40.466106249999996, 48.64044782801418, 33.78683289007092, 34.67127362588651, 40.89913794326241], [30.22172304964539, 30.304813563829786, 33.78683289007092, 29.209195567375886, 28.3965759751773, 30.923397163120562], [30.20355407801418, 30.553945345744676, 34.67127362588651, 28.3965759751773, 29.102238253546098, 32.066544326241136], [33.88137304964539, 34.80633510638297, 40.89913794326241, 30.923397163120562, 32.066544326241136, 39.14330780141844]]","[3.91553640e-13 1.29377177e-12 1.00000000e+00 1.77390750e-16
 1.09945048e-16 2.79998211e-17]",1.048958333335618,6.974270415473587,1.0000000000016855
48,Minimum-Variance,"{'SMALL LoINV': 1.2358333333333333, 'ME1 INV2': 1.391875, 'SMALL HiINV': 1.048958333333333, 'BIG LoINV': 1.2029166666666666, 'ME2 INV2': 1.3652083333333331, 'BIG HiINV': 1.461666666666667}","[[34.57798226950355, 34.354233510638295, 39.85162535460992, 30.22172304964539, 30.20355407801418, 33.88137304964539], [34.354233510638295, 34.95585811170212, 40.466106249999996, 30.304813563829786, 30.553945345744676, 34.80633510638297], [39.85162535460992, 40.466106249999996, 48.64044782801418, 33.78683289007092, 34.67127362588651, 40.89913794326241], [30.22172304964539, 30.304813563829786, 33.78683289007092, 29.209195567375886, 28.3965759751773, 30.923397163120562], [30.20355407801418, 30.553945345744676, 34.67127362588651, 28.3965759751773, 29.102238253546098, 32.066544326241136], [33.88137304964539, 34.80633510638297, 40.89913794326241, 30.923397163120562, 32.066544326241136, 39.14330780141844]]","[0.00000000e+00 0.00000000e+00 8.75504027e-17 4.64774990e-01
 5.35225010e-01 0.00000000e+00]",1.2897792255698515,5.364164683949729,1.0000000000000002
48,Naive,"{'SMALL LoINV': 1.2358333333333333, 'ME1 INV2': 1.391875, 'SMALL HiINV': 1.048958333333333, 'BIG LoINV': 1.2029166666666666, 'ME2 INV2': 1.3652083333333331, 'BIG HiINV': 1.461666666666667}","[[34.57798226950355, 34.354233510638295, 39.85162535460992, 30.22172304964539, 30.20355407801418, 33.88137304964539], [34.354233510638295, 34.95585811170212, 40.466106249999996, 30.304813563829786, 30.553945345744676, 34.80633510638297], [39.85162535460992, 40.466106249999996, 48.64044782801418, 33.78683289007092, 34.67127362588651, 40.89913794326241], [30.22172304964539, 30.304813563829786, 33.78683289007092, 29.209195567375886, 28.3965759751773, 30.923397163120562], [30.20355407801418, 30.553945345744676, 34.67127362588651, 28.3965759751773, 29.102238253546098, 32.066544326241136], [33.88137304964539, 34.80633510638297, 40.89913794326241, 30.923397163120562, 32.066544326241136, 39.14330780141844]]",[0.16666667 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667],1.2844097222222222,5.836675167269888,0.9999999999999999
96,Mean-Variance,"{'SMALL LoINV': 0.5962499999999998, 'ME1 INV2': 0.7940625, 'SMALL HiINV': 0.6053125, 'BIG LoINV': 0.6315624999999999, 'ME2 INV2': 0.8436458333333333, 'BIG HiINV': 0.8242708333333333}","[[30.556385789473683, 29.42582171052632, 32.53729907894737, 26.40228486842105, 24.878185394736843, 27.86947092105263], [29.42582171052632, 29.102251743421053, 32.05371398026316, 25.704848322368417, 24.545633453947367, 27.624863519736838], [32.53729907894737, 32.05371398026316, 36.87571990131579, 27.527256874999996, 26.798796217105263, 31.05334759868421], [26.40228486842105, 25.704848322368417, 27.527256874999996, 25.20868490131579, 23.09098266447369, 25.134139572368422], [24.878185394736843, 24.545633453947367, 26.798796217105263, 23.09098266447369, 22.778926567982456, 24.960035844298247], [27.86947092105263, 27.624863519736838, 31.05334759868421, 25.134139572368422, 24.960035844298247, 29.792317357456135]]","[0.00000000e+00 9.54097912e-18 0.00000000e+00 5.74817483e-01
 4.25182517e-01 7.97972799e-17]",0.7217366254493028,4.871785092579339,1.0
96,Minimum-Variance,"{'SMALL LoINV': 0.5962499999999998, 'ME1 INV2': 0.7940625, 'SMALL HiINV': 0.6053125, 'BIG LoINV': 0.6315624999999999, 'ME2 INV2': 0.8436458333333333, 'BIG HiINV': 0.8242708333333333}","[[30.556385789473683, 29.42582171052632, 32.53729907894737, 26.40228486842105, 24.878185394736843, 27.86947092105263], [29.42582171052632, 29.102251743421053, 32.05371398026316, 25.704848322368417, 24.545633453947367, 27.624863519736838], [32.53729907894737, 32.05371398026316, 36.87571990131579, 27.527256874999996, 26.798796217105263, 31.05334759868421], [26.40228486842105, 25.704848322368417, 27.527256874999996, 25.20868490131579, 23.09098266447369, 25.134139572368422], [24.878185394736843, 24.545633453947367, 26.798796217105263, 23.09098266447369, 22.778926567982456, 24.960035844298247], [27.86947092105263, 27.624863519736838, 31.05334759868421, 25.134139572368422, 24.960035844298247, 29.792317357456135]]","[1.42992389e-16 7.92214250e-17 0.00000000e+00 0.00000000e+00
 1.00000000e+00 1.97092912e-17]",0.8436458333333334,4.772727372057037,1.0000000000000002
96,Naive,"{'SMALL LoINV': 0.5962499999999998, 'ME1 INV2': 0.7940625, 'SMALL HiINV': 0.6053125, 'BIG LoINV': 0.6315624999999999, 'ME2 INV2': 0.8436458333333333, 'BIG HiINV': 0.8242708333333333}","[[30.556385789473683, 29.42582171052632, 32.53729907894737, 26.40228486842105, 24.878185394736843, 27.86947092105263], [29.42582171052632, 29.102251743421053, 32.05371398026316, 25.704848322368417, 24.545633453947367, 27.624863519736838], [32.53729907894737, 32.05371398026316, 36.87571990131579, 27.527256874999996, 26.798796217105263, 31.05334759868421], [26.40228486842105, 25.704848322368417, 27.527256874999996, 25.20868490131579, 23.09098266447369, 25.134139572368422], [24.878185394736843, 24.545633453947367, 26.798796217105263, 23.09098266447369, 22.778926567982456, 24.960035844298247], [27.86947092105263, 27.624863519736838, 31.05334759868421, 25.134139572368422, 24.960035844298247, 29.792317357456135]]",[0.16666667 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667],0.7158506944444443,5.253378929330532,0.9999999999999999
144,Mean-Variance,"{'SMALL LoINV': 0.678611111111111, 'ME1 INV2': 0.8265972222222222, 'SMALL HiINV': 0.6507638888888889, 'BIG LoINV': 0.5894444444444444, 'ME2 INV2': 0.7633333333333332, 'BIG HiINV': 0.7261111111111112}","[[27.046378477078477, 25.45625817793318, 27.524022047397047, 23.27748243978244, 22.426855710955714, 24.224749106449107], [25.45625817793318, 24.63916246600622, 26.628931288850044, 22.183779914529918, 21.597351282051285, 23.55730485625486], [27.524022047397047, 26.628931288850044, 30.03961409770785, 23.34391161616162, 23.091082051282047, 25.928161033411037], [23.27748243978244, 22.183779914529918, 23.34391161616162, 22.837171717171714, 21.39002214452215, 22.48464957264958], [22.426855710955714, 21.597351282051285, 23.091082051282047, 21.39002214452215, 21.565857342657342, 22.758643123543127], [24.224749106449107, 23.55730485625486, 25.928161033411037, 22.48464957264958, 22.758643123543127, 25.98832043512044]]","[6.11278033e-17 0.00000000e+00 0.00000000e+00 2.39214291e-01
 7.60785709e-01 1.33143387e-16]",0.7217366260447812,4.64484720845905,1.0000000000000002
144,Minimum-Variance,"{'SMALL LoINV': 0.678611111111111, 'ME1 INV2': 0.8265972222222222, 'SMALL HiINV': 0.6507638888888889, 'BIG LoINV': 0.5894444444444444, 'ME2 INV2': 0.7633333333333332, 'BIG HiINV': 0.7261111111111112}","[[27.046378477078477, 25.45625817793318, 27.524022047397047, 23.27748243978244, 22.426855710955714, 24.224749106449107], [25.45625817793318, 24.63916246600622, 26.628931288850044, 22.183779914529918, 21.597351282051285, 23.55730485625486], [27.524022047397047, 26.628931288850044, 30.03961409770785, 23.34391161616162, 23.091082051282047, 25.928161033411037], [23.27748243978244, 22.183779914529918, 23.34391161616162, 22.837171717171714, 21.39002214452215, 22.48464957264958], [22.426855710955714, 21.597351282051285, 23.091082051282047, 21.39002214452215, 21.565857342657342, 22.758643123543127], [24.224749106449107, 23.55730485625486, 25.928161033411037, 22.48464957264958, 22.758643123543127, 25.98832043512044]]","[7.72171601e-17 0.00000000e+00 3.66445542e-17 1.08287882e-01
 8.91712118e-01 0.00000000e+00]",0.7445032739076279,4.6418538592276,1.0000000000000002
144,Naive,"{'SMALL LoINV': 0.678611111111111, 'ME1 INV2': 0.8265972222222222, 'SMALL HiINV': 0.6507638888888889, 'BIG LoINV': 0.5894444444444444, 'ME2 INV2': 0.7633333333333332, 'BIG HiINV': 0.7261111111111112}","[[27.046378477078477, 25.45625817793318, 27.524022047397047, 23.27748243978244, 22.426855710955714, 24.224749106449107], [25.45625817793318, 24.63916246600622, 26.628931288850044, 22.183779914529918, 21.597351282051285, 23.55730485625486], [27.524022047397047, 26.628931288850044, 30.03961409770785, 23.34391161616162, 23.091082051282047, 25.928161033411037], [23.27748243978244, 22.183779914529918, 23.34391161616162, 22.837171717171714, 21.39002214452215, 22.48464957264958], [22.426855710955714, 21.597351282051285, 23.091082051282047, 21.39002214452215, 21.565857342657342, 22.758643123543127], [24.224749106449107, 23.55730485625486, 25.928161033411037, 22.48464957264958, 22.758643123543127, 25.98832043512044]]",[0.16666667 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667],0.7058101851851851,4.898590821369187,0.9999999999999999
